"query_id","accession","title","organism","description","url","search_date","source_db"
"GEO_Q1","GSE312570","Primate gut microbiota induce evolutionarily salient changes in mouse neurodevelopment","Mus musculus","Multiple primate species, including humans, evolved brains that are exceptionally large relative to their body sizes. These large brains coevolved with metabolic adaptations that enhance cerebral energy supply, including increased circulating glucose levels. While the gut microbiota (GM) is known to influence host metabolism, its potential role in primate brain evolution remains unclear. To investigate this, we inoculated germ-free mice with the GMs of primate species selected to separate the effects of brain size (encephalization) from phylogenetic relatedness: humans (large-brained, Catarrhini), macaques (smaller-brained, Catarrhini), and squirrel monkeys (large-brained, Platyrrhini). We first show that differences in brain gene expression between mice inoculated with human versus macaque GMs resemble those observed between actual human and macaque brains. Comparing the effects of the different primate GMs on mouse brain gene expression further revealed that, despite greater evolutionary distance, the GMs from the two larger-brained species (humans and squirrel monkeys) similarly upregulated genes associated with energy production. Notably, human GMs specifically increased the expression of genes involved in oxidative phosphorylation, and these gene expression changes correlated with increased abundances of GM metabolic pathways related to glucose metabolism and gluconeogenesis. Human GMs also downregulated evolutionarily conserved genes implicated in neurodevelopmental disorders such as autism. Although these are findings based on a small sample of primate species and must be interpreted as preliminary, they suggest that species differences in GM composition can influence brain metabolism and raise the possibility that the GM could have played a supporting role in primate encephalization.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312570","2026-04-02","geo"
"GEO_Q2","GSE312570","Primate gut microbiota induce evolutionarily salient changes in mouse neurodevelopment","Mus musculus","Multiple primate species, including humans, evolved brains that are exceptionally large relative to their body sizes. These large brains coevolved with metabolic adaptations that enhance cerebral energy supply, including increased circulating glucose levels. While the gut microbiota (GM) is known to influence host metabolism, its potential role in primate brain evolution remains unclear. To investigate this, we inoculated germ-free mice with the GMs of primate species selected to separate the effects of brain size (encephalization) from phylogenetic relatedness: humans (large-brained, Catarrhini), macaques (smaller-brained, Catarrhini), and squirrel monkeys (large-brained, Platyrrhini). We first show that differences in brain gene expression between mice inoculated with human versus macaque GMs resemble those observed between actual human and macaque brains. Comparing the effects of the different primate GMs on mouse brain gene expression further revealed that, despite greater evolutionary distance, the GMs from the two larger-brained species (humans and squirrel monkeys) similarly upregulated genes associated with energy production. Notably, human GMs specifically increased the expression of genes involved in oxidative phosphorylation, and these gene expression changes correlated with increased abundances of GM metabolic pathways related to glucose metabolism and gluconeogenesis. Human GMs also downregulated evolutionarily conserved genes implicated in neurodevelopmental disorders such as autism. Although these are findings based on a small sample of primate species and must be interpreted as preliminary, they suggest that species differences in GM composition can influence brain metabolism and raise the possibility that the GM could have played a supporting role in primate encephalization.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312570","2026-04-02","geo"
"GEO_Q1","GSE244391","Bacteroides is increased in an autism cohort and induces autismrelevant behavioral changes in mice in a sex-dependent manner","Homo sapiens","Autism Spectrum Disorder (ASD) is a neurodevelopmental condition which is defined by decreased social communication and the presence of repetitive or stereotypic behaviors. Recent evidence has suggested that the gut-brain axis may be important in neurodevelopment in general and may play a role in ASD in particular. Here, we present a study of the gut microbiome in 96 individuals diagnosed with ASD in Israel, compared to 42 neurotypical individuals. We determined differences in alpha and beta diversity in the microbiome of individuals with ASD and demonstrated that the phylum Bacteroidetes and genus Bacteroides were the most significantly over-represented in individuals with ASD. To understand the possible functional significance of these changes, we treated newborn mice with Bacteroides fragilis at birth. B. fragilis-treated male mice displayed social behavior dysfunction, increased repetitive behaviors and gene expression dysregulation in the prefrontal cortex, while female mice did not display behavioral deficits. These findings suggest that overabundance of Bacteroides, particularly in early life, may have functional consequences for individuals with ASD.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244391","2026-04-02","geo"
"GEO_Q2","GSE244391","Bacteroides is increased in an autism cohort and induces autismrelevant behavioral changes in mice in a sex-dependent manner","Homo sapiens","Autism Spectrum Disorder (ASD) is a neurodevelopmental condition which is defined by decreased social communication and the presence of repetitive or stereotypic behaviors. Recent evidence has suggested that the gut-brain axis may be important in neurodevelopment in general and may play a role in ASD in particular. Here, we present a study of the gut microbiome in 96 individuals diagnosed with ASD in Israel, compared to 42 neurotypical individuals. We determined differences in alpha and beta diversity in the microbiome of individuals with ASD and demonstrated that the phylum Bacteroidetes and genus Bacteroides were the most significantly over-represented in individuals with ASD. To understand the possible functional significance of these changes, we treated newborn mice with Bacteroides fragilis at birth. B. fragilis-treated male mice displayed social behavior dysfunction, increased repetitive behaviors and gene expression dysregulation in the prefrontal cortex, while female mice did not display behavioral deficits. These findings suggest that overabundance of Bacteroides, particularly in early life, may have functional consequences for individuals with ASD.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244391","2026-04-02","geo"
"GEO_Q1","GSE225983","Acetate supplementation rescues social deficits and alters transcriptional regulation in prefrontal cortex of  Shank3  deficient mice","Mus musculus","Autism spectrum disorder (ASD) is a heterogenous neurodevelopmental disorder with complex pathophysiology including both genetic and environmental factors. Recent evidence demonstrates the gut microbiome and its resultant metabolome can influence brain and behavior and have been implicated in ASD. To investigate gene by microbiome interactions in a model for genetic risk of ASD, we utilize mutant mice carrying a deletion of the ASD-associated Shank3 gene (Shank3KO). Shank3KO have altered microbiome composition and function at baseline in addition to social deficits. Further depletion of the microbiome with antibiotics exacerbates social deficits in Shank3KO, and results in transcriptional changes in the frontal cortex. Supplementation with the microbial metabolite acetate leads to reversal of social behavioral phenotypes even in mice with a depleted microbiome, and significantly alters transcriptional regulation in the prefrontal cortex. These results suggest a key role for the gut microbiome and the neuroactive metabolite acetate in regulating ASD-like behaviors.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225983","2026-04-02","geo"
"GEO_Q1","GSE197618","A common epigenetic mechanism across different cellular origins underlies systemic immune dysregulation in an idiopathic autism mouse model","Mus musculus","Immune dysregulation plays a key role in the pathogenesis of autism. Changes occurring at the systemic level, from brain inflammation to disturbed innate/adaptive immune in the periphery, are frequently observed in patients with autism; however, the intrinsic mechanisms behind them remain elusive. We hypothesize a common etiology may lie in progenitors of different types underlying widespread immune dysregulation. By single-cell RNA sequencing (sc-RNA seq), we trace the developmental origins of immune dysregulation in a mouse model of idiopathic autism. It is found that both in aorta-gonad-mesonephros (AGM) and yolk sac (YS) progenitors, the dysregulation of HDAC1-mediated epigenetic machinery alters definitive hematopoiesis during embryogenesis and downregulates the expression of the AP-1 complex for microglia development. Subsequently, these changes result in the dysregulation of the immune system, leading to gut dysbiosis and hyperactive microglia in the brain. We further confirm that dysregulated immune profiles are associated with specific microbiota composition, which may serve as a biomarker to identify autism of immune-dysregulated subtypes. Our findings elucidate a shared mechanism for the origin of immune dysregulation from the brain to the gut in autism and provide new insight to dissecting the heterogeneity of autism, as well as the therapeutic potential of targeting immune-dysregulated autism subtypes.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197618","2026-04-02","geo"
"GEO_Q1","GSE198199","Analysis of small ncRNAs in stool samples from ASD patients","Homo sapiens","Intestinal microorganisms impact on health maintaining gut homeostasis and shaping the host immunity, while gut dysbiosis associates with many conditions including autism, a complex neurodevelopmental disorder with multifactorial aetiology. In autism, gut dysbiosis correlates with symptom severity and is characterized by a reduced bacterial variability and a diminished beneficial commensal relationship. Microbiota can influence the expression of host microRNAs that, in turn, regulate the growth of intestinal bacteria by means of bidirectional host-gut micro-biota cross-talk. We investigated possible interactions among intestinal microbes and between them and host transcriptional modulators in autism. To this purpose, we analysed, by “omics” technologies, faecal microbiome, mycobiome and small non-coding-RNAs (particularly miRNAs and piRNAs) of children with autism and neurotypical development. Patients displayed gut dysbiosis, related to a reduction of healthy gut micro- and mycobiota, and up-regulated tran-scriptional modulators. The targets of dysregulated non-coding-RNAs are involved in intestinal permeability, inflammation and autism. Furthermore, microbial families, underrepresented in patients, participate to the production of human essential metabolites negatively influencing the health condition. Here, we propose a novel approach to analyse faeces as a whole and, for the first time, we detected miRNAs and piRNAs in faecal samples of patients with autism.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198199","2026-04-02","geo"
"GEO_Q2","GSE198199","Analysis of small ncRNAs in stool samples from ASD patients","Homo sapiens","Intestinal microorganisms impact on health maintaining gut homeostasis and shaping the host immunity, while gut dysbiosis associates with many conditions including autism, a complex neurodevelopmental disorder with multifactorial aetiology. In autism, gut dysbiosis correlates with symptom severity and is characterized by a reduced bacterial variability and a diminished beneficial commensal relationship. Microbiota can influence the expression of host microRNAs that, in turn, regulate the growth of intestinal bacteria by means of bidirectional host-gut micro-biota cross-talk. We investigated possible interactions among intestinal microbes and between them and host transcriptional modulators in autism. To this purpose, we analysed, by “omics” technologies, faecal microbiome, mycobiome and small non-coding-RNAs (particularly miRNAs and piRNAs) of children with autism and neurotypical development. Patients displayed gut dysbiosis, related to a reduction of healthy gut micro- and mycobiota, and up-regulated tran-scriptional modulators. The targets of dysregulated non-coding-RNAs are involved in intestinal permeability, inflammation and autism. Furthermore, microbial families, underrepresented in patients, participate to the production of human essential metabolites negatively influencing the health condition. Here, we propose a novel approach to analyse faeces as a whole and, for the first time, we detected miRNAs and piRNAs in faecal samples of patients with autism.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198199","2026-04-02","geo"
"GEO_Q1","GSE167014","Novel ADNP syndrome mice reveal dramatic sex-specific peripheral gene expression with brain synaptic and Tau pathologies.","Mus musculus","Essential for brain formation and function, activity-dependent neuroprotective protein (ADNP) is a major autism gene. Here, a novel Tyr mouse carrying p.Tyr718* mutation (homologous to the most common ADNP syndrome p.Tyr719*) was generated using CRISPR-Cas9. Adnp p.Tyr718* inhibited early mouse development and showed sex-dependent gait deficits. Delayed speech acquisition was translated to sex-specific mouse syntax abnormalities. Mechanistically, dendritic spine densities/morphologies were significantly decreased in Tyr mice. All mentioned impediments were ameliorated by daily treatments with the ADNP fragment, drug candidate, NAP. Early onset tauopathy was male-specific (hippocampus and visual cortex) mimicking the human condition, paralleled by impaired visual evoked potentials and corrected by acute NAP treatment. RNA-sequencing of spleens revealed a comprehensive effect only on females, with 5 transcripts (SMOX, ARRB1, ADCY6, FOXO3, CPXM1), shared as deregulated by different human patient-derived ADNP mutated lymphoblastoid cell lines. With FOXO3 implicated in apoptosis and steroid synthesis, these changes, converging on AKT1, were further translated to sex-specific microbiota signatures. The Tyr mouse is thus a valid model for the ADNP syndrome, with a human-like pathology. NAP’s corrective effects attest to specificity, leading to future drug development with objective biomarkers, including rapidly responsive visual evoked potentials, blood proteomics and microbiota signatures.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE167014","2026-04-02","geo"
"GEO_Q1","GSE113701","Metagenomic sequencing and 16S rRNA sequence of gut microbiota associated with autism spectrum disorders patients","feces metagenome","This SuperSeries is composed of the SubSeries listed below.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE113701","2026-04-02","geo"
